2	71	6	13	19	-14	38	1	1	0	0	95	6.3	15:30	90	0	4	4	0	0	8	3	3	3	3	5	3	0	0	0	0	1	29	2019-20
3	59	12	13	25	-14	20	3	0	1	0	101	11.9	14:30	90	0	2	2	0	0	19	3	4	2	2	2	1	0	0	0	0	0	46	2019-20
4	72	6	8	14	-3	47	0	0	2	0	99	6.1	13:00	90	4	0	4	0	0	8	3	4	3	5	5	4	0	0	0	0	1	2	2019-20
10	63	6	18	24	-3	34	0	0	0	0	79	7.6	13:00	90	0	2	2	0	0	13	3	3	3	4	4	3	0	0	0	0	0	108	2019-20
11	11	1	1	2	2	0	0	0	0	0	11	9.1	7:45	90	1	1	1	0	0	18	2	2	1	1	3	1	0	0	0	0	1	21	2019-20
12	82	30	53	83	25	26	3	4	7	0	243	12.3	20:15	90	4	4	0	0	0	18	5	5	5	4	2	1	0	0	0	0	2	126	2019-20
18	9	0	1	1	1	2	0	0	0	0	8	0	17:15	120	0	0	0	3	3	3	1	1	2	0	3	2	2	0	0	0	0	5	2019-20
19	43	6	7	13	-1	6	0	0	0	0	37	16.2	10:15	90	2	0	2	0	0	29	3	2	3	3	2	1	0	0	0	0	1	53	2019-20
22	34	4	3	7	-7	6	0	1	1	0	49	8.2	13:00	90	0	2	2	0	0	18	3	3	2	2	3	2	0	0	0	0	0	6	2019-20
23	82	27	20	47	25	60	3	2	5	0	230	11.7	17:00	90	0	0	5	0	0	30	4	4	4	5	5	5	0	0	1	0	0	44	2019-20
26	42	2	4	6	-13	29	0	1	0	0	41	4.9	10:45	90	2	2	0	0	0	11	4	4	2	4	3	2	0	0	0	0	1	7	2019-20
27	79	2	17	19	17	23	0	0	0	0	115	1.7	16:00	120	0	0	0	3	3	4	4	4	3	0	3	2	2	0	0	0	0	24	2019-20
29	64	7	10	17	10	14	0	0	1	0	95	7.4	11:00	90	0	3	3	0	0	13	2	4	3	3	2	1	0	0	0	0	0	31	2019-20
30	78	15	22	37	-2	14	1	1	1	0	142	10.6	16:15	90	3	3	0	0	0	22	3	2	4	2	2	2	0	0	0	0	2	30	2019-20
32	36	3	7	10	9	4	0	0	1	0	29	10.3	8:15	90	0	0	2	0	0	17	3	3	3	1	3	1	0	0	0	0	0	116	2019-20
33	12	1	1	2	-3	12	0	0	0	0	10	10	7:30	90	0	2	2	0	0	16	2	2	1	2	3	4	0	0	0	0	0	34	2019-20
